音楽,,,music
,Jポップ・ロック,,jpop
,,Jポップ/歌謡曲,jpop
,,アイドル,idle
,,バンド/ロック,jrock
,,ヴィジュアル系,visual
,,Jポップ・ロックその他,mjpn-other
,Kポップ・Kロック,,kpop
,洋楽,,western
,,ポップス,mw-pop
,,バンド/ロック,mw-rock
,,洋楽その他,mw-other
,クラシック・オペラ,,classic
,ジャズ・フュージョン,,jazz
,フォーク/カントリー,,folk
,ダンス/クラブミュージック,,dance
,ヒップホップ,,hiphop
,レゲエ/ボサノバ,,reggae
,音楽フェスティバル,,fes
,アニメ音楽,,anime
,演歌・民謡,,enka
,その他音楽,,m_other
スポーツ,,,sports
,野球,,baseball
,,セ・リーグ,central
,,パ・リーグ,pacific
,,クライマックス・シリーズ,cmax
,,日本シリーズ,jpnseries
,,野球その他,baseball-other
,サッカー,,soccer
,,J1,j1
,,J2,j2
,,なでしこリーグ,nadeshiko
,,日本代表,nationalteam
,,ワールドカップ・その他国際試合,worldcup
,,サッカーその他,soccer-other
,ゴルフ,,golf
,,JGTOツアー（男子ゴルフ）,jgto
,,LPGAツアー（女子ゴルフ）,lpga
,,シニアツアー,senior
,,ゴルフその他,golf-other
,テニス,,tennis
,,男子テニス,menstennis
,,女子テニス,wemenstennis
,,テニスその他,tennis-other
,相撲・格闘技,,fighting-sports
,,相撲,sumo
,,その他格闘技,fighting-other
,スケート・ウインタースポーツ,,winter-sports
,,フィギュアスケート,fskating
,,その他ウインタースポーツ,winter-sports-other
,水泳・マリンスポーツ,,swim
,その他スポーツ,,s_other
演劇・ステージ・舞台,,,stage
,演劇・ステージ,,stage
,,演劇（国内）,stage-jpn
,,演劇（来日）,stage-int
,,演劇（その他）,stage-other
,ミュージカル・ショー,,musical
,バレエ・ダンス,,ballet
,パフォーマンス,,performance
,お笑い,,comedy
,寄席・演芸,,yose
,伝統芸能,,traditional-arts
,,能楽,nougaku
,,狂言,kyogen
,,歌舞伎,kabuki
,,人形浄瑠璃,jyoruri
,,伝統芸能（その他）,traditional-other
,その他演劇・ステージ・舞台,,stage-other
イベント・その他,,,event
,サーカス,,circus
,ショー・ファンイベント,,show
,祭り・花火大会,,matsuri
,美術館・博物館,,museum
,博覧会・展示会,,exhibition
,講演会・トークショー,,talkshow
,マジック・イリュージョン,,magic
,テーマパーク,,themepark
,その他イベント,,event-other
