旧通番,通番,"大
分類","中
分類",小分類,No.,大分類名,中分類名,小分類名,テストシナリオ,確認ポイント,払込票番号,引換票番号,"チケット
代金","チケット
購入代金","チケット
発券代金","合計
金額","発券
枚数","支払い
期限日時","発券
期限日時","発券
開始日時",備考,実施日
,,,,,,,,,,,,,,,,,,,,,,
1,1,22,1,1,1,店舗・本部内異常系シナリオ,"センター応答エラー
第一電文　受付",代引きその他共通,登録問合せ　応答結果”０１”：検索キーエラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",不要,不要,不要,不要,不要,不要,不要,不要,不要,不要,払込票番号を13桁適当に入力→エラー,6/13
2,2,22,1,2,1,,,代引き,登録問合せ　応答結果”０２”：支払期限エラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,210,105,5315,1,6/12,6/20,6/11,,6/13
,3,22,1,2,2,,,,登録問合せ　応答結果”０３”：支払済みエラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,210,105,5315,1,6/20,6/20,6/11,支払い後再度入金,6/13
4,4,22,1,2,3,,,,登録問合せ　応答結果”０８”：発券期限エラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,210,105,5315,1,6/12,6/12,6/11,,6/13
,5,22,1,2,4,,,,登録問合せ　応答結果”１４”：発券期限前エラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,210,105,5315,1,6/20,6/20,6/15,,6/13
,6,22,1,3,1,,,代済み,登録問合せ　応答結果”０７”：発券済みエラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,0,105,5105,1,6/20,6/20,6/11,発券後再度発券,6/13
,7,22,1,3,2,,,,登録問合せ　応答結果”０８”：発券期限エラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,0,105,5105,1,6/12,6/12,6/11,,6/13
,8,22,1,3,3,,,,登録問合せ　応答結果”１４”：発券期限前エラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,0,105,5105,1,6/20,6/20,6/15,,6/13
,9,22,1,4,1,,,前払い後日発券（前払い）,登録問合せ　応答結果”０２”：支払期限エラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,210,105,5315,1,6/12,6/15,6/11,,6/13
,10,22,1,4,2,,,,登録問合せ　応答結果”０３”：支払済みエラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,210,105,5315,1,6/20,6/20,6/11,支払い後再度入金,6/13
,11,22,1,5,1,,,前払い後日発券（発券）,登録問合せ　応答結果”０７”：発券済みエラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,210,105,5315,1,6/20,6/20,6/11,発券後再度発券,6/13、14
,12,22,1,5,2,,,,登録問合せ　応答結果”０８”：発券期限エラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,210,105,5315,1,6/12,6/12,6/11,"支払い6/13
発券6/14エラー",6/13、14
,13,22,1,5,3,,,,登録問合せ　応答結果”１４”：発券期限前エラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,210,105,5315,1,6/20,6/20,6/15,,6/13
,14,22,1,6,1,,,前払い,登録問合せ　応答結果”０２”：支払期限エラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,210,0,5210,0,6/12,-,-,,6/13
,15,22,1,6,2,,,,登録問合せ　応答結果”０３”：支払済みエラー,"エラーＰＯＰＵＰが表示されること
メッセージが想定どおりであること",,,5000,210,0,5210,0,6/20,-,-,支払い後再度入金,6/13




,,,,,,,,,,,,,,,,,,,,,,
